DBMS,Rank_Dec-2023,Rank_Nov-2023,Rank_Dec-2022,Database Model,Score_Dec-2023,Score_Nov-2023,Score_Dec-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
CockroachDB,64.0,64.0,58.0,Relational,6.54,-0.02,-0.86,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"23.1.1, May 2023",Open Source,"Apache 2.0, commercial license available",no
Ehcache,65.0,62.0,67.0,Key-value,6.44,-0.33,+0.38,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no
Microsoft Azure AI Search,66.0,66.0,60.0,"Search engine, Multi-model",6.27,-0.16,-0.55,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS",Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes
Jackrabbit,67.0,70.0,69.0,Content,6.25,+0.27,+0.23,https://db-engines.com/en/system/Jackrabbit,,Apache Software Foundation,,2006.0,,Open Source,,no
SingleStore,68.0,72.0,56.0,"Relational, Multi-model",5.98,+0.26,-1.54,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,"8.1, May 2023",commercial,free developer edition available,no
Sphinx,69.0,69.0,61.0,Search engine,5.97,-0.03,-0.78,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,"3.5.1, February 2023",Open Source,"GPL version 2, commercial licence available",no
Microsoft Azure Table Storage,70.0,68.0,74.0,Wide column,5.91,-0.17,+0.29,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes
Interbase,71.0,67.0,68.0,Relational,5.9,-0.21,-0.16,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no
Ingres,72.0,73.0,70.0,Relational,5.72,+0.03,-0.25,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"11.2, May 2022",commercial,,no
SAP SQL Anywhere,73.0,76.0,76.0,Relational,5.56,+0.09,+0.16,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no
Riak KV,74.0,81.0,80.0,Key-value,5.47,+0.63,+0.29,https://db-engines.com/en/system/Riak+KV,,"OpenSource, formerly Basho Technologies","Distributed, fault tolerant key-value store",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no
Graphite,75.0,78.0,62.0,Time Series,5.46,+0.24,-1.26,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no
Google Cloud Datastore,76.0,77.0,65.0,Document,5.34,+0.00,-1.02,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes
TimescaleDB,77.0,75.0,82.0,"Time Series, Multi-model",5.29,-0.23,+0.54,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,"2.13.0, November 2023",Open Source,Apache 2.0,no
Virtuoso,78.0,74.0,71.0,Multi-model,5.27,-0.34,-0.68,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.11, September 2023",Open Source,"GPLv2, extended commercial license available",no
Apache Jena - TDB,79.0,84.0,93.0,RDF,5.22,+0.77,+0.95,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,"4.9.0, July 2023",Open Source,"Apache License, Version 2.0",no
Trino,80.0,71.0,94.0,"Relational, Multi-model",5.07,-0.88,+0.81,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no
HyperSQL,81.0,79.0,77.0,Relational,4.85,-0.04,-0.51,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,"2.7.2, June 2023",Open Source,based on BSD license,no
Adabas,82.0,80.0,83.0,Multivalue,4.61,-0.24,-0.04,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no
