DBMS,Rank_Mar-2023,Rank_Feb-2023,Rank_Mar-2022,Database Model,Score_Mar-2023,Score_Feb-2023,Score_Mar-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
ToroDB,328.0,334.0,346.0,Document,0.25,-0.01,+0.23,https://db-engines.com/en/system/ToroDB,,8Kdata,"A MongoDB-compatible JSON document store, built on top of PostgreSQL",2016.0,,Open Source,AGPL-V3,no,2016,,Y,N
STSdb,329.0,317.0,320.0,Key-value,0.25,-0.09,+0.17,https://db-engines.com/en/system/STSdb,,STS Soft SC,Key-Value Store with special method for indexing,2011.0,,Open Source,"GPLv2, commercial license available",no,2011,,Y,N
Tigris,330.0,329.0,,Multi-model,0.24,-0.06,,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS","Tigris Data, Inc.","A horizontally scalable, ACID transactional, document database available both as a fully managed cloud service and for deployment on self-managed infrastructure",2022.0,,Open Source,Apache Version 2.0,no,2022,,Y,N
Alibaba Cloud Table Store,331.0,346.0,249.0,Wide column,0.24,+0.01,-0.21,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,,Alibaba,"A fully managed,Wide Column Store,for large quantities of semi-structured data with real-time access",2016.0,,commercial,,yes,2016,,N,Y
Elliptics,332.0,328.0,347.0,Key-value,0.24,-0.06,+0.23,https://db-engines.com/en/system/Elliptics,,,Distributed Key-value Store,2009.0,,Open Source,,no,2009,,Y,N
BrightstarDB,333.0,331.0,329.0,RDF,0.24,-0.04,+0.19,https://db-engines.com/en/system/BrightstarDB,,,,2012.0,,Open Source,,no,2012,,Y,N
Upscaledb,334.0,320.0,340.0,Key-value,0.23,-0.09,+0.22,https://db-engines.com/en/system/Upscaledb,,,"An embedded,key-value store,with SQL-style analytical functions",2007.0,,Open Source,Apache Version 2,no,2007,,Y,N
GreptimeDB,335.0,330.0,,Time Series,0.23,-0.06,,https://db-engines.com/en/system/GreptimeDB,,Greptime Inc.,"An open source,Time Series DBMS,built for increased scalability, high performance and efficiency",2022.0,,Open Source,Apache Version 2.0,no,2022,,Y,N
Transwarp KunDB,336.0,325.0,,Relational,0.23,-0.07,,https://db-engines.com/en/system/Transwarp+KunDB,,Transwarp,"OLTP DBMS based on a distributed architecture and highly compatible with,MySQL,and,Oracle",,,commercial,,no,,,N,N
XtremeData,337.0,307.0,301.0,Relational,0.22,-0.15,+0.08,https://db-engines.com/en/system/XtremeData,,,,,,commercial,limited edition free,no,,,N,N
H2GIS,338.0,351.0,342.0,"Spatial DBMS, Multi-model",0.22,+0.02,+0.21,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS",CNRS,"Spatial extension of,H2",2013.0,,Open Source,LGPL 3.0,no,2013,,Y,N
Exorbyte,339.0,324.0,347.0,Search engine,0.22,-0.09,+0.21,https://db-engines.com/en/system/Exorbyte,,,,2000.0,,commercial,,no,2000,,N,N
Hawkular Metrics,340.0,353.0,333.0,Time Series,0.21,+0.02,+0.17,https://db-engines.com/en/system/Hawkular+Metrics,,Community supported by Red Hat,"Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on,Cassandra,.",2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
Siaqodb,341.0,354.0,352.0,Object oriented,0.21,+0.02,+0.21,https://db-engines.com/en/system/Siaqodb,,,,,,commercial,,no,,,N,N
XTDB,342.0,361.0,352.0,Document,0.21,+0.03,+0.21,https://db-engines.com/en/system/XTDB,,Juxt Ltd.,A general purpose database with bitemporal SQL and Datalog and graph queries,2019.0,,Open Source,MIT License,no,2019,,Y,N
Edge Intelligence,343.0,337.0,344.0,Relational,0.19,-0.06,+0.17,https://db-engines.com/en/system/Edge+Intelligence,,,A Big Data Analytics Platform,2012.0,,commercial,,no,2012,,N,N
HyperLevelDB,343.0,337.0,341.0,Key-value,0.19,-0.06,+0.17,https://db-engines.com/en/system/HyperLevelDB,,,"A fork of Google's,LevelDB",2010.0,,Open Source,,no,2010,,Y,N
iBoxDB,343.0,337.0,352.0,Document,0.19,-0.06,+0.19,https://db-engines.com/en/system/iBoxDB,,,Transactional embedded database for desktop and mobile applications.,2013.0,,Open Source,,no,2013,,Y,N
IRONdb,343.0,337.0,352.0,Time Series,0.19,-0.06,+0.19,https://db-engines.com/en/system/IRONdb,,Circonus LLC.,"A distributed,Time Series DBMS,with a focus on scalability, fault tolerance and operational simplicity",2017.0,,commercial,,no,2017,,N,N
OrigoDB,343.0,337.0,352.0,Multi-model,0.19,-0.06,+0.19,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS",Robert Friberg et al,A fully ACID in-memory object graph database,2009.0,,Open Source,,no,2009,,Y,N
TerarkDB,343.0,337.0,352.0,Key-value,0.19,-0.06,+0.19,https://db-engines.com/en/system/TerarkDB,,Terark,"A,key-value store,forked from,RocksDB,with advanced compression algorithms. It can be used standalone or as a storage engine for,MySQL,and,MongoDB",2016.0,,commercial,restricted open source version available,no,2016,,N,N
Acebase,349.0,335.0,352.0,Document,0.19,-0.07,+0.19,https://db-engines.com/en/system/Acebase,,,"A fast, low memory, transactional,Document Store,, inspired by,Firebase Realtime Database",2018.0,,Open Source,MIT License,no,2018,,Y,N
SiteWhere,350.0,332.0,338.0,Time Series,0.18,-0.08,+0.16,https://db-engines.com/en/system/SiteWhere,,SiteWhere,M2M integration platform for persisting/querying time series data,2010.0,,Open Source,Common Public Attribution License Version 1.0,no,2010,,Y,N
Faircom DB,351.0,367.0,255.0,Multi-model,0.18,+0.04,-0.24,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS",FairCom Corporation,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,1979.0,,commercial,"Restricted, free version available",no,1979,,N,N
RaptorDB,352.0,343.0,352.0,Document,0.18,-0.06,+0.18,https://db-engines.com/en/system/RaptorDB,,,,,,Open Source,Apache Version 2,no,,,Y,N
TomP2P,353.0,356.0,352.0,Key-value,0.18,-0.01,+0.18,https://db-engines.com/en/system/TomP2P,,,Distributed Key-Value store,2004.0,,Open Source,Apache Version 2,no,2004,,Y,N
EsgynDB,354.0,363.0,285.0,Relational,0.18,+0.00,-0.03,https://db-engines.com/en/system/EsgynDB,,Esgyn,"Enterprise-class SQL-on-Hadoop solution, powered by,Apache Trafodion",2015.0,,commercial,,no,2015,,N,N
AntDB,355.0,368.0,,Relational,0.17,+0.04,,https://db-engines.com/en/system/AntDB,,AsiaInfo Technologies Limited,"A scalable, multi-tenant, MPP-architectured,RDBMS,for OLTP and OLAP operations, highly compatible with,Oracle",,,commercial,"community version available at,github.com/ADBSQL/AntDB",no,,,N,N
JethroData,356.0,349.0,352.0,Relational,0.17,-0.04,+0.17,https://db-engines.com/en/system/JethroData,,JethroData,SQL Query Engine for Hadoop,2013.0,,commercial,,no,2013,,N,N
ActorDB,357.0,347.0,352.0,Relational,0.17,-0.06,+0.17,https://db-engines.com/en/system/ActorDB,,,"A distributed, consistent,RDBMS",2014.0,,Open Source,Mozilla Public License 2.0,no,2014,,Y,N
BigObject,357.0,356.0,323.0,Relational,0.17,-0.02,+0.10,https://db-engines.com/en/system/BigObject,,"BigObject, Inc.",Analytic DBMS for real-time computations and queries,2015.0,,commercial,free community edition available,no,2015,,N,N
Blueflood,357.0,350.0,334.0,Time Series,0.17,-0.04,+0.13,https://db-engines.com/en/system/Blueflood,,Rackspace,"Scalable TimeSeries DBMS based on,Cassandra",2013.0,,Open Source,Apache 2.0,no,2013,,Y,N
SenseiDB,357.0,372.0,328.0,Document,0.17,+0.05,+0.11,https://db-engines.com/en/system/SenseiDB,,,,2010.0,,Open Source,Apache Version 2,no,2010,,Y,N
SiriDB,357.0,356.0,352.0,Time Series,0.17,-0.02,+0.17,https://db-engines.com/en/system/SiriDB,,,,2017.0,,Open Source,MIT License,no,2017,,Y,N
VelocityDB,357.0,356.0,335.0,Multi-model,0.17,-0.02,+0.13,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS",,,2011.0,,commercial,,no,2011,,N,N
WhiteDB,357.0,356.0,347.0,Document,0.17,-0.02,+0.16,https://db-engines.com/en/system/WhiteDB,,,,2008.0,,Open Source,GPL V3,no,2008,,Y,N
Eloquera,364.0,345.0,350.0,Object oriented,0.17,-0.06,+0.17,https://db-engines.com/en/system/Eloquera,,,,2008.0,,commercial,free licenses,no,2008,,N,N
Kyoto Tycoon,365.0,376.0,327.0,Key-value,0.16,+0.11,+0.10,https://db-engines.com/en/system/Kyoto+Tycoon,,,,2009.0,,Open Source,GPL,no,2009,,Y,N
NosDB,366.0,348.0,352.0,Document,0.16,-0.06,+0.16,https://db-engines.com/en/system/NosDB,,,,2016.0,,Open Source,Professional and Enterprise Versions available,no,2016,,Y,N
Alibaba Cloud TSDB,367.0,364.0,270.0,Time Series,0.16,0.00,-0.11,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,,,,,,commercial,,yes,,,N,Y
LedisDB,368.0,355.0,331.0,Key-value,0.16,-0.03,+0.11,https://db-engines.com/en/system/LedisDB,,,,2014.0,,Open Source,MIT-License,no,2014,,Y,N
Quasardb,369.0,352.0,312.0,Time Series,0.16,-0.04,+0.05,https://db-engines.com/en/system/Quasardb,,,,2009.0,,commercial,"Free community edition, Non-profit organizations and non-commercial usage are eligible for free licenses",no,2009,,N,N
IBM Db2 Event Store,370.0,365.0,239.0,Multi-model,0.14,-0.02,-0.38,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS",,,2017.0,,commercial,free developer edition available,no,2017,,N,N
Badger,371.0,371.0,308.0,Key-value,0.13,+0.00,+0.01,https://db-engines.com/en/system/Badger,,,,2017.0,,Open Source,Apache 2.0,no,2017,,Y,N
Fujitsu Enterprise Postgres,372.0,370.0,,"Relational, Multi-model",0.12,0.00,,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS",,,,,commercial,,no,,,N,N
OushuDB,373.0,374.0,306.0,Relational,0.09,+0.01,-0.03,https://db-engines.com/en/system/OushuDB,,,,,,commercial,,no,,,N,N
DataFS,374.0,373.0,,"Object oriented, Multi-model",0.09,0.00,,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS",,,2018.0,,commercial,,no,2018,,N,N
HGraphDB,375.0,369.0,345.0,Graph,0.08,-0.05,+0.07,https://db-engines.com/en/system/HGraphDB,,,,2016.0,,Open Source,Apache 2.0,no,2016,,Y,N
InfinityDB,376.0,377.0,337.0,Key-value,0.07,+0.02,+0.04,https://db-engines.com/en/system/InfinityDB,,,,2002.0,,commercial,,no,2002,,N,N
AgensGraph,377.0,375.0,321.0,Multi-model,0.07,0.00,-0.01,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS",,,2016.0,,Open Source,Apache License 2.0,no,2016,,Y,N
Warp 10,378.0,378.0,283.0,Time Series,0.06,+0.01,-0.16,https://db-engines.com/en/system/Warp+10,,,,2015.0,,Open Source,Apache License 2.0,no,2015,,Y,N
Yanza,379.0,389.0,352.0,Time Series,0.04,+0.04,+0.04,https://db-engines.com/en/system/Yanza,,,,2015.0,,commercial,free version available,no,2015,,N,N
SmallSQL,380.0,379.0,316.0,Relational,0.02,-0.02,-0.07,https://db-engines.com/en/system/SmallSQL,,,,2005.0,,Open Source,L-GPL,no,2005,,Y,N
ScaleOut StateServer,381.0,380.0,322.0,Key-value,0.02,-0.02,-0.05,https://db-engines.com/en/system/ScaleOut+StateServer,,,,2005.0,,commercial,,no,2005,,N,N
SparkleDB,382.0,381.0,352.0,RDF,0.02,-0.02,+0.02,https://db-engines.com/en/system/SparkleDB,,,,2012.0,,commercial,,no,2012,,N,N
Resin Cache,383.0,382.0,313.0,Key-value,0.01,-0.01,-0.09,https://db-engines.com/en/system/Resin+Cache,,,,1998.0,,Open Source,"GPLv3, extended commercial license available",no,1998,,Y,N
PieCloudDB,384.0,389.0,,Relational,0.01,+0.01,,https://db-engines.com/en/system/PieCloudDB,,,,,,commercial,,yes,,,N,Y
SWC-DB,385.0,383.0,336.0,"Wide column, Multi-model",0.01,-0.01,-0.02,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS",,,2020.0,,Open Source,GPL V3,no,2020,,Y,N
WakandaDB,386.0,386.0,332.0,Object oriented,0.0,0.00,-0.04,https://db-engines.com/en/system/WakandaDB,,,,2012.0,,Open Source,"AGPLv3, extended commercial license available",no,2012,,Y,N
Faircom EDGE,387.0,387.0,288.0,Multi-model,0.0,0.00,-0.20,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS",,,1979.0,,commercial,"Restricted, free version available",no,1979,,N,N
SwayDB,388.0,388.0,339.0,Key-value,0.0,0.00,-0.02,https://db-engines.com/en/system/SwayDB,,,,2018.0,,Open Source,GNU Affero GPL V3.0,no,2018,,Y,N
BergDB,389.0,389.0,352.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/BergDB,,,,2013.0,,Open Source,Gnu Affero General Public License (AGPL),no,2013,,Y,N
Cachelot.io,389.0,389.0,352.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Cachelot.io,,,,2015.0,,Open Source,Simplified BSD License,no,2015,,Y,N
CortexDB,389.0,389.0,352.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store",,,2014.0,,commercial,,no,2014,,N,N
CovenantSQL,389.0,389.0,352.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,,,,2018.0,,Open Source,,no,2018,,Y,N
DaggerDB,389.0,389.0,352.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,,,,2014.0,,commercial,,no,2014,,N,N
EdgelessDB,389.0,389.0,352.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,,,,2021.0,,Open Source,GPL V2,no,2021,,Y,N
Galaxybase,389.0,389.0,351.0,Graph,0.0,±0.00,0.00,https://db-engines.com/en/system/Galaxybase,,,,2017.0,,commercial,,no,2017,,N,N
Helium,389.0,389.0,352.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Helium,,,,2013.0,,commercial,,no,2013,,N,N
Indica,389.0,389.0,352.0,Search engine,0.0,±0.00,±0.00,https://db-engines.com/en/system/Indica,,,,2014.0,,commercial,parts of it are open source,no,2014,,N,N
JaguarDB,389.0,389.0,352.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/JaguarDB,,,,2015.0,,Open Source,GPL V3.0,no,2015,,Y,N
JasDB,389.0,389.0,352.0,Document,0.0,±0.00,±0.00,https://db-engines.com/en/system/JasDB,,,,2014.0,,Open Source,,no,2014,,Y,N
K-DB,389.0,389.0,352.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/K-DB,,,,,,commercial,,no,,,N,N
Newts,389.0,389.0,352.0,Time Series,0.0,±0.00,±0.00,https://db-engines.com/en/system/Newts,,OpenNMS Group,"Time Series DBMS based on,Cassandra",,,Open Source,Apache 2.0,no,,,Y,N
NSDb,389.0,389.0,352.0,Time Series,0.0,±0.00,±0.00,https://db-engines.com/en/system/NSDb,,,"Scalable, High-performance,Time Series DBMS,designed for Real-time Analytics on top of Kubernetes",,,Open Source,Apache Version 2.0,no,,,Y,N
Rizhiyi,389.0,385.0,352.0,"Search engine, Multi-model",0.0,-0.02,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS",Rizhiyi,"Used for unified collecting, indexing, and searching of log file data",,,commercial,,no,,,N,N
Sadas Engine,389.0,384.0,352.0,Relational,0.0,-0.02,±0.00,https://db-engines.com/en/system/Sadas+Engine,,SADAS s.r.l.,SADAS Engine is a columnar DBMS specifically designed for high performance in Data warehouse environments,,,commercial,free trial version available,no,,,N,N
searchxml,389.0,389.0,352.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine",informationpartners gmbh,DBMS for structured and unstructured content wrapped with an application server,,,commercial,,no,,,N,N
SpaceTime,389.0,389.0,352.0,"Spatial DBMS, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS",Mireo,SpaceTime is a spatio-temporal DBMS with a focus on performance.,,,commercial,,no,,,N,N
Tkrzw,389.0,389.0,352.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Tkrzw,,Mikio Hirabayashi,"A concept of libraries, allowing an application program to store and query key-value pairs in a file. Successor of,Tokyo Cabinet,and,Kyoto Cabinet",,,Open Source,Apache Version 2.0,no,,,Y,N
Transwarp ArgoDB,389.0,389.0,,"Relational, Multi-model",0.0,±0.00,,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine",Transwarp,Distributed Analytical Database to replace Hadoop+MPP hybrid architecture,,,commercial,,no,,,N,N
Transwarp StellarDB,389.0,389.0,,Graph,0.0,±0.00,,https://db-engines.com/en/system/Transwarp+StellarDB,,Transwarp,A distributed graph DBMS built for enterprise-level graph applications,,,commercial,,no,,,N,N
Yaacomo,389.0,389.0,352.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/Yaacomo,,Q2WEB GmbH,"OpenCL based in-memory,RDBMS,, designed for efficiently utilizing the hardware via parallel computing",,,commercial,,no,,,N,N
