DBMS,Rank_Jun-2024,Rank_May-2024,Rank_Jun-2023,Database Model,Score_Jun-2024,Score_May-2024,Score_Jun-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
CovenantSQL,402.0,383.0,403.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,,,"A decentralized blockchain,relational DBMS,, built with,SQLite",2018.0,,Open Source,,no,2018,,Y,N
DaggerDB,402.0,383.0,403.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,,,Simple olap analytics DBMS built for high performance querying in real time,2014.0,,commercial,,no,2014,,N,N
Edge Intelligence,402.0,383.0,360.0,Relational,0.0,±0.00,-0.24,https://db-engines.com/en/system/Edge+Intelligence,,Adapdix,A Big Data Analytics Platform,2012.0,,commercial,,no,2012,,N,N
EdgelessDB,402.0,383.0,403.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,,Edgeless Systems,"A,MariaDB,-based, confidential,RDBMS,that runs entirely inside runtime-encrypted Intel SGX enclaves",2021.0,,Open Source,GPL V2,no,2021,,Y,N
Helium,402.0,383.0,403.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Helium,,Levyx Inc.,Cost efficient key-value store,2013.0,,commercial,,no,2013,,N,N
HGraphDB,402.0,383.0,403.0,Graph,0.0,±0.00,±0.00,https://db-engines.com/en/system/HGraphDB,,,"HGraphDB is a client layer for using,HBase,as a graph database by implementing the Tinkerpop 3 interfaces",2016.0,,Open Source,Apache 2.0,no,2016,,Y,N
HyperLevelDB,402.0,383.0,357.0,Key-value,0.0,±0.00,-0.26,https://db-engines.com/en/system/HyperLevelDB,,,"A fork of Google's,LevelDB",2010.0,,Open Source,,no,2010,,Y,N
iBoxDB,402.0,383.0,383.0,Document,0.0,±0.00,-0.16,https://db-engines.com/en/system/iBoxDB,,,Transactional embedded database for desktop and mobile applications.,2013.0,,Open Source,,no,2013,,Y,N
JasDB,402.0,383.0,403.0,Document,0.0,±0.00,±0.00,https://db-engines.com/en/system/JasDB,,,,2014.0,,Open Source,,no,2014,,Y,N
K-DB,402.0,383.0,403.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/K-DB,,Inspur Group,"Oracle compatible DBMS for Inspur's own K1 mainframe, available in China",,,commercial,,no,,,N,N
Kuzu,402.0,,,Graph,0.0,,,https://db-engines.com/en/system/Kuzu,,,"An embeddable property,Graph DBMS,built for query speed and scalability",2022.0,"0.4.2, May 2024",Open Source,MIT license,no,2022,2024,Y,N
RaptorDB,402.0,383.0,364.0,Document,0.0,±0.00,-0.21,https://db-engines.com/en/system/RaptorDB,,,,,,Open Source,Apache Version 2,no,,,Y,N
Rizhiyi,402.0,383.0,403.0,"Search engine, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS",Rizhiyi,"Used for unified collecting, indexing, and searching of log file data",2014.0,,commercial,,no,2014,,N,N
TomP2P,402.0,383.0,333.0,Key-value,0.0,±0.00,-0.34,https://db-engines.com/en/system/TomP2P,,,Distributed Key-Value store,2004.0,4.4,Open Source,Apache Version 2,no,2004,,Y,N
Upscaledb,402.0,383.0,325.0,Key-value,0.0,±0.00,-0.37,https://db-engines.com/en/system/Upscaledb,,,"An embedded,key-value store,with SQL-style analytical functions",2007.0,,Open Source,Apache Version 2,no,2007,,Y,N
WhiteDB,402.0,383.0,367.0,Document,0.0,±0.00,-0.20,https://db-engines.com/en/system/WhiteDB,,,,2008.0,,Open Source,GPL V3,no,2008,,Y,N
