Rank_Oct-2025,Rank_Sep-2025,Rank_Oct-2024,DBMS,Database Model,Score_Oct-2025,Score_Sep-2025,Score_Oct-2024,DBMS_insitelink,Multi_model_info
160.,170.,200.,Vitess,"Relational, Multi-model",1.31,+0.06,+0.44,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
161.,160.,154.,Dgraph,Graph,1.31,-0.03,-0.09,https://db-engines.com/en/system/Dgraph,
162.,166.,140.,Empress,Relational,1.30,+0.01,-0.33,https://db-engines.com/en/system/Empress,
163.,159.,167.,Amazon Timestream,Time Series,1.28,-0.07,+0.08,https://db-engines.com/en/system/Amazon+Timestream,
164.,163.,169.,openGauss,"Relational, Multi-model",1.27,-0.05,+0.13,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
165.,169.,179.,SurrealDB,Multi-model,1.27,-0.01,+0.20,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
166.,168.,176.,SQLBase,Relational,1.26,-0.02,+0.18,https://db-engines.com/en/system/SQLBase,
167.,164.,166.,D3,Multivalue,1.26,-0.03,+0.05,https://db-engines.com/en/system/D3,
168.,165.,156.,VoltDB,Relational,1.26,-0.04,-0.11,https://db-engines.com/en/system/VoltDB,
169.,162.,193.,StarRocks,Relational,1.24,-0.09,+0.28,https://db-engines.com/en/system/StarRocks,
170.,167.,161.,IBM Db2 warehouse,Relational,1.23,-0.06,-0.03,https://db-engines.com/en/system/IBM+Db2+warehouse,
171.,176.,157.,Actian NoSQL Database,Object oriented,1.21,+0.00,-0.14,https://db-engines.com/en/system/Actian+NoSQL+Database,
172.,171.,165.,Mnesia,Document,1.21,-0.04,-0.01,https://db-engines.com/en/system/Mnesia,
173.,178.,164.,Db4o,Object oriented,1.19,-0.01,-0.05,https://db-engines.com/en/system/Db4o,
174.,175.,174.,Apache Kylin,Relational,1.19,-0.03,+0.08,https://db-engines.com/en/system/Apache+Kylin,
175.,180.,159.,ObjectStore,Object oriented,1.17,-0.01,-0.13,https://db-engines.com/en/system/ObjectStore,
176.,177.,175.,ObjectBox,Multi-model,1.16,-0.04,+0.07,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
177.,181.,153.,HEAVY.AI,"Relational, Multi-model",1.16,0.00,-0.24,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
178.,174.,184.,Amazon Keyspaces,Wide column,1.15,-0.07,+0.15,https://db-engines.com/en/system/Amazon+Keyspaces,
179.,173.,145.,Tibero,Relational,1.14,-0.10,-0.42,https://db-engines.com/en/system/Tibero,
180.,179.,170.,LiteDB,Document,1.13,-0.06,+0.00,https://db-engines.com/en/system/LiteDB,
181.,172.,188.,Typesense,Search engine,1.13,-0.12,+0.15,https://db-engines.com/en/system/Typesense,
182.,184.,168.,Datameer,Document,1.12,+0.00,-0.04,https://db-engines.com/en/system/Datameer,
183.,188.,203.,Alibaba Cloud MaxCompute,Relational,1.11,+0.09,+0.24,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
184.,183.,163.,TimesTen,Relational,1.10,-0.02,-0.14,https://db-engines.com/en/system/TimesTen,
185.,182.,177.,KurrentDB (aka EventStoreDB),"Event, Multi-model",1.09,-0.06,+0.01,https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,"Event Store,Document store,Time Series DBMS"
186.,185.,172.,Giraph,Graph,1.07,-0.01,-0.04,https://db-engines.com/en/system/Giraph,
187.,186.,162.,mSQL,Relational,1.04,-0.01,-0.21,https://db-engines.com/en/system/mSQL,
188.,192.,182.,Oracle Rdb,Relational,1.02,+0.04,-0.01,https://db-engines.com/en/system/Oracle+Rdb,
189.,190.,187.,NonStop SQL,Relational,1.02,+0.01,+0.04,https://db-engines.com/en/system/NonStop+SQL,
190.,187.,198.,GigaSpaces,Multi-model,1.02,-0.02,+0.13,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
191.,189.,235.,Vespa,Multi-model,0.98,-0.03,+0.37,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
192.,191.,183.,Apache HAWQ,Relational,0.95,-0.04,-0.06,https://db-engines.com/en/system/Apache+HAWQ,
193.,194.,186.,FoundationDB,Multi-model,0.94,-0.03,-0.05,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
194.,193.,192.,Cubrid,Relational,0.94,-0.03,-0.03,https://db-engines.com/en/system/Cubrid,
195.,197.,190.,GT.M,Key-value,0.92,+0.02,-0.05,https://db-engines.com/en/system/GT.M,
