DBMS,category_label,Multi_model_info,DBMS_insitelink,has_open_source_github_repo,has_company,github_repo_link,Score_Apr-2023,Rank_Apr-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
Trino,Relational,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",https://db-engines.com/en/system/Trino,Y,,trinodb/trino,5.39,77,trinodb,trino,Trino Software Foundation,2012,,Y,Apache Version 2.0,N,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
Ignite,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/Ignite,Y,N,apache/ignite,5.32,78,apache,ignite,Apache Software Foundation,2015,,Y,Apache 2.0,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Riak KV,Key-value,Key-value store,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,5.19,79,basho,riak_kv,Basho Technologies,2009,2015,Y,"Apache version 2, commercial enterprise edition",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Accumulo,Wide column,Wide column store,https://db-engines.com/en/system/Accumulo,Y,,apache/accumulo,5.18,80,apache,accumulo,,2008,2020,Y,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HyperSQL,Relational,Relational DBMS,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,5.15,81,ryenus,hsqldb,,2001,2022,Y,based on BSD license,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Adabas,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Adabas,Y,,jrmarino/AdaBase,5.1,82,jrmarino,AdaBase,Software AG,1971,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Apache Jena - TDB,RDF,RDF store,https://db-engines.com/en/system/Apache+Jena+-+TDB,Y,N,apache/jena,5.07,83,apache,jena,Apache Software Foundation,2000,2022,Y,"Apache License, Version 2.0",N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Google Cloud Bigtable,Key-value,"Key-value store,Wide column store",https://db-engines.com/en/system/Google+Cloud+Bigtable,N,,-,4.91,84,-,-,Google,2015,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ArangoDB,Document,"Document store,Graph DBMS,Key-value store,Search engine",https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,4.8,85,arangodb,arangodb,ArangoDB Inc.,2012,2022,Y,Apache Version 2; Commercial license (Enterprise) available,N,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"UniData,UniVerse",Multivalue,Multivalue DBMS,https://db-engines.com/en/system/UniData%2CUniVerse,N,,-,4.54,86,-,-,Rocket Software,1985,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TimescaleDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,4.37,87,timescale,timescaledb,Timescale,2017,2022,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
OpenEdge,Relational,Relational DBMS,https://db-engines.com/en/system/OpenEdge,N,,-,4.33,88,-,-,Progress Software Corporation,1984,2020,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RocksDB,Key-value,Key-value store,https://db-engines.com/en/system/RocksDB,Y,Y,facebook/rocksdb,4.3,89,facebook,rocksdb,"Facebook, Inc.",2013,2023,Y,BSD,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SAP IQ,Relational,Relational DBMS,https://db-engines.com/en/system/SAP+IQ,N,,-,4.13,90,-,-,"SAP, formerly Sybase",1994,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IBM Cloudant,Document,Document store,https://db-engines.com/en/system/IBM+Cloudant,N,,-,4.09,91,-,-,"IBM, Apache Software Foundation",2010,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
